section	role_id	menu_id
role_menu	3	167
role_menu	3	169
role_menu	3	170
role_menu	3	171
role_menu	3	172
section	id	admin_id	terminal	token_length	token_sha256	update_time	expire_time
session	4	4	1	32	b3655f62e10543a4b4679ac57bb5abf3590abf8377bd6175373fb9d0e6b3e731	1785576506	1785605306
section	id	sn	account	user_money	total_recharge_amount
user	24	806586244	f02a26080101	439.40	439.40
user	25	806586245	f02b26080101	5.00	100.00
user	26	806586246	f02c26080101	200.00	200.00
section	id	sn	user_id	pay_status	refund_status	order_amount	refund_transaction_id
recharge	1	F0226080101O01	24	0	0	10.10	NULL
recharge	2	F0226080101O02	24	1	0	20.20	NULL
recharge	3	F0226080101O03	24	1	0	30.30	NULL
recharge	4	F0226080101O04	24	1	1	40.40	NULL
recharge	5	F0226080101O05	25	1	0	50.50	NULL
recharge	6	F0226080101O06	24	1	1	60.60	NULL
recharge	7	F0226080101O07	26	1	0	70.70	NULL
recharge	8	F0226080101O08	25	1	1	80.80	NULL
recharge	9	F0226080101O09	24	1	0	55.50	NULL
recharge	10	F0226080101O90	24	1	0	90.90	NULL
recharge	11	F0226080101O91	2147483000	1	0	99.90	NULL
section	id	sn	user_id	order_id	order_sn	refund_amount	refund_status
refund_record	1	F0226080101RI	24	4	F0226080101O04	40.40	0
refund_record	2	F0226080101RE	25	8	F0226080101O08	80.80	2
refund_record	3	202608011612415201	24	6	F0226080101O06	60.60	2
section	id	sn	record_id	user_id	refund_amount	refund_status
refund_log	1	F0226080101LI	1	24	40.40	0
refund_log	2	F0226080101LE	2	25	80.80	2
refund_log	3	202608011612412623	3	24	60.60	2
